3.35,-67.36,3.351,-52.91,3.35,-65.34
3.36,-67.36,3.361,-53.1,3.36,-65.53
3.37,-67.36,3.371,-53.1,3.37,-65.53
3.381,-67.36,3.38,-53.1,3.38,-65.53
3.39,-67.36,3.391,-53.1,3.39,-65.53
3.4,-67.36,3.401,-53.1,3.4,-65.53
3.41,-67.36,3.411,-53.1,3.411,-65.53
3.421,-67.36,3.42,-53.1,3.42,-65.53
3.431,-67.36,3.43,-53.1,3.43,-65.53
3.44,-67.36,3.441,-53.1,3.44,-65.53
3.45,-67.36,3.451,-53.1,3.45,-65.53
3.461,-67.36,3.46,-53.1,3.46,-65.53
3.471,-67.36,3.47,-53.1,3.47,-64.8
3.48,-67.36,3.481,-53.1,3.48,-63.15
3.49,-67.36,3.491,-53.1,3.49,-60.77
3.5,-67.36,3.501,-53.1,3.5,-58.03
3.511,-67.36,3.51,-53.1,3.51,-55.47
3.52,-67.36,3.521,-53.1,3.52,-53.1
3.53,-67.36,3.531,-52.91,3.53,-50.72
3.54,-67.36,3.541,-52.91,3.541,-48.16
3.551,-67.36,3.55,-53.1,3.55,-45.6
3.56,-67.36,3.561,-53.1,3.56,-43.04
3.57,-67.36,3.571,-53.1,3.57,-40.67
3.58,-67.36,3.581,-53.1,3.581,-38.47
3.591,-67.36,3.59,-53.1,3.59,-36.28
3.601,-67.36,3.6,-53.1,3.6,-34.27
3.61,-67.36,3.611,-53.1,3.61,-32.44
3.62,-67.36,3.621,-53.1,3.62,-30.8
3.63,-67.36,3.63,-53.1,3.63,-29.52
3.641,-67.36,3.64,-53.1,3.64,-28.24
3.65,-67.36,3.651,-53.1,3.65,-27.14
3.66,-67.36,3.661,-53.1,3.66,-26.41
3.67,-67.36,3.671,-53.1,3.671,-25.49
3.681,-67.36,3.68,-52.91,3.68,-24.95
3.69,-67.36,3.691,-52.91,3.69,-24.21
3.7,-67.36,3.701,-53.1,3.7,-23.48
3.71,-67.36,3.711,-53.1,3.711,-23.3
3.721,-67.36,3.72,-53.1,3.72,-22.93
3.73,-67.36,3.731,-53.1,3.73,-22.75
3.74,-67.36,3.741,-53.1,3.74,-22.75
3.75,-67.36,3.751,-53.1,3.751,-22.75
3.761,-67.36,3.76,-53.1,3.76,-22.57
3.771,-67.36,3.77,-53.1,3.77,-22.39
3.78,-67.36,3.781,-52.91,3.78,-22.39
3.79,-67.36,3.791,-52.91,3.79,-22.75
3.8,-67.36,3.801,-53.1,3.801,-23.48
3.811,-67.36,3.81,-53.1,3.81,-25.13
3.82,-67.36,3.821,-53.1,3.82,-26.77
3.83,-67.36,3.831,-53.1,3.83,-28.97
3.84,-67.36,3.841,-53.1,3.841,-31.53
3.851,-67.36,3.85,-52.91,3.85,-34.09
3.86,-67.36,3.861,-52.91,3.86,-37.92
3.87,-67.36,3.871,-53.1,3.87,-41.4
3.88,-67.36,3.881,-53.1,3.881,-45.05
3.891,-67.36,3.89,-52.91,3.89,-48.34
3.9,-67.36,3.901,-52.91,3.9,-51.63
3.91,-67.36,3.911,-53.1,3.91,-54.74
3.92,-67.36,3.921,-53.1,3.921,-57.48
3.931,-67.36,3.931,-53.1,3.93,-60.59
3.941,-67.36,3.94,-53.1,3.94,-63.33
3.95,-67.36,3.951,-53.1,3.95,-65.16
3.96,-67.36,3.961,-53.1,3.96,-65.71
3.97,-67.36,3.971,-53.1,3.971,-65.89
3.981,-67.36,3.98,-53.1,3.98,-65.89
3.99,-67.36,3.991,-53.1,3.99,-65.89
4,-67.36,4.001,-53.1,4,-65.89
4.01,-67.36,4.011,-53.1,4.011,-65.89
4.021,-67.36,4.02,-53.1,4.02,-65.89
4.03,-67.36,4.031,-53.1,4.03,-65.89
4.04,-67.36,4.041,-53.1,4.04,-65.89
4.05,-67.36,4.051,-53.1,4.051,-65.89
4.061,-67.36,4.06,-53.1,4.06,-65.89
4.071,-67.36,4.07,-53.1,4.07,-65.89
4.08,-67.36,4.081,-53.1,4.08,-65.53
4.09,-67.36,4.091,-53.1,4.09,-64.06
4.101,-67.36,4.101,-53.1,4.101,-61.87
4.111,-67.36,4.11,-53.1,4.11,-59.49
